tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
398,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,66.7395,120.3924,521.3554,172.7735,1.0000,1.0000,1.0000,23.5764,10.3974,20.1336,23.5764,20.7947,1,1
399,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,59.5639,134.5565,390.9885,46.5775,1.0000,1.0000,1.0000,20.4645,13.9917,27.9834,20.4645,27.8923,1,1
400,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,525.1294,144.0613,629.2384,192.4760,1.0000,1.0000,1.0000,22.4601,11.6386,23.2772,22.4601,19.5633,1,1
401,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,404.2222,120.2820,96.8419,235.4088,1.0000,1.0000,1.0000,23.5764,12.7805,25.5611,23.5764,25.3661,1,1
402,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,712.6827,162.1076,780.4522,196.5517,1.0000,1.0000,1.0000,22.8586,11.1719,22.3438,22.8586,20.4191,1,1
403,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,203.5550,163.6230,739.6444,287.7285,1.0000,1.0000,1.0000,20.4645,12.8001,25.6003,20.4645,24.0834,1,1
404,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,731.4509,154.4787,590.2110,140.1293,1.0000,1.0000,1.0000,23.5764,12.9171,25.7377,23.5764,25.8342,1,1
405,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,640.3047,116.6098,217.0728,72.2038,1.0000,1.0000,1.0000,20.4645,12.8068,25.6137,20.4645,24.1002,1,1
406,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,390.4786,122.6972,932.1213,269.9025,1.0000,1.0000,1.0000,22.8586,9.3253,15.7986,22.8586,18.6507,1,1
407,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,412.8807,102.6891,710.2862,119.2237,1.0000,1.0000,1.0000,20.4645,13.6728,27.3457,20.4645,26.4456,1,1
408,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,816.4243,139.5191,429.1267,227.5135,1.0000,1.0000,1.0000,22.4601,12.7658,25.2286,22.4601,25.5316,1,1
409,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,297.8033,137.4900,879.3477,260.5540,1.0000,1.0000,1.0000,20.4645,11.8502,23.7004,20.4645,21.7755,1,1
410,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,327.1738,103.1575,976.4824,127.7149,1.0000,1.0000,1.0000,22.4601,12.8187,24.7615,22.4601,25.6374,1,1
